prompt,seed,num_timesteps,max_think_token_n,min_think_token_n,wait_interjection,cfg_text_scale,cfg_img_scale,cfg_interval,cfg_renorm_min,cfg_renorm_type,timestep_shift,enable_taylorseer,t_prefill,t_think,t_image,think_token_count,think_tok_per_sec,hit_cap,think_closed,ok,error,prompt_idx,cond_idx,repeat,trial_idx,hardware,timestamp
a photo of a cute cat sitting on a windowsill,1756,50,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14648571610450745,9.84774910658598,54.84583765268326,255,25.894242150164146,True,False,True,,0,2610,0,1,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a photo of a cute cat sitting on a windowsill,1356,10,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.1405593901872635,9.641920022666454,10.328206904232502,255,26.44701464029363,True,False,True,,0,2570,0,2,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a photo of a cute cat sitting on a windowsill,2500,50,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14104041457176208,37.62334153056145,55.340708673000336,999,26.552665429478456,True,False,True,,0,10050,0,3,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a photo of a cute cat sitting on a windowsill,2100,10,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.1399543434381485,37.4219386279583,10.430747374892235,999,26.695570476234955,True,False,True,,0,10010,0,4,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
an oil painting of a mountain landscape at sunset,11756,50,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14428332448005676,9.597503118216991,54.84184268862009,255,26.5694104871907,True,False,True,,1,2610,0,5,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
an oil painting of a mountain landscape at sunset,11356,10,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.13859877735376358,9.475499600172043,10.346770726144314,255,26.91150976307044,True,False,True,,1,2570,0,6,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
an oil painting of a mountain landscape at sunset,12500,50,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14013749361038208,37.542450957000256,55.35609319806099,999,26.60987694021943,True,False,True,,1,10050,0,7,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
an oil painting of a mountain landscape at sunset,12100,10,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14144330471754074,37.5419072881341,10.440158039331436,999,26.610262295217876,True,False,True,,1,10010,0,8,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a futuristic cityscape with neon lights at night,21756,50,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14044871926307678,9.595899544656277,54.87933640927076,255,26.57385050909618,True,False,True,,2,2610,0,9,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a futuristic cityscape with neon lights at night,21356,10,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.13988981395959854,9.597800061106682,10.34334921836853,255,26.568588465740245,True,False,True,,2,2570,0,10,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a futuristic cityscape with neon lights at night,22500,50,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.13970232009887695,37.64006965607405,55.37800174951553,999,26.540864805195426,True,False,True,,2,10050,0,11,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a futuristic cityscape with neon lights at night,22100,10,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14212050288915634,37.60843350738287,10.448925584554672,999,26.56319093439208,True,False,True,,2,10010,0,12,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a still life of fruits on a wooden table,31756,50,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.1433379128575325,9.628984294831753,54.88142874836922,255,26.48254397266681,True,False,True,,3,2610,0,13,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a still life of fruits on a wooden table,31356,10,256,256," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.13872484117746353,9.498240776360035,10.340506285429,255,26.847076843394404,True,False,True,,3,2570,0,14,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a still life of fruits on a wooden table,32500,50,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.1403747871518135,37.71394897252321,55.306231029331684,999,26.4888728763946,True,False,True,,3,10050,0,15,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
a still life of fruits on a wooden table,32100,10,1000,1000," Wait,",1.0,1.0,"[0.4, 1.0]",0.0,global,3.0,False,0.14070402830839157,37.60745192319155,10.429585233330727,999,26.56388425465067,True,False,True,,3,10010,0,16,NVIDIA GeForce RTX 4090,2026-07-07T11:49:07
